bridging-capital-weight,innovation-diffusion-rate,policy-effectiveness,cultural-diffusion-rate,Obj_Innov_Neg,Obj_Div_Neg,Obj_Gini,Generation
0.5699991476659645,0.12914020296097073,0.7233406440863501,0.34033537998978036,-88988.53126918199,-0.8779002772773069,0.15261988721495287,1
0.1809171394037925,0.023631696699292683,0.24273439553436815,0.004091708060715349,-258013.57351004545,-0.9844068904668145,0.17051623110077607,1
0.8583297869224262,0.10675706438192678,0.4344585909891222,0.09359628325212183,-161460.68053981801,-0.8713770909075412,0.1478895210550703,1
0.36671955042587934,0.1591139544644926,0.010907046727330783,0.24013851946592157,-345194.20138604176,-0.9009803207848023,0.17964905032582748,1
0.9658762082517207,0.13864015544418384,0.9754580945429197,0.25864836910720684,-123023.37900402118,-0.9390259435126009,0.15509286623600002,1
0.52487465588629,0.02358857475630867,0.3318013886465613,0.1362082167976782,-13859.504652525902,-0.9405921055017062,0.1567373441855591,1
0.712622939283032,0.017716711277764197,0.3818441536191586,0.011947413067721235,-148296.12328080836,-0.9705444024940393,0.1673373455294794,1
0.7180839738379233,0.09674049618212331,0.9802304834339034,0.3806573338635493,-80244.68879198623,-0.789681051108249,0.14191312111286702,1
0.62755658516776,0.17665676047577245,0.799860475035343,0.27697139430438655,-118412.51703090446,-0.7690505915323672,0.1477814863488674,1
0.8705216043587283,0.08184093639456091,0.06721708538654148,0.07057428505775432,-321404.54393512313,-0.8654208010028329,0.16745629819476046,1
0.02770939779749837,0.12742930670593094,0.876907942711342,0.0828195278819489,-221540.5501107004,-0.8578452418294512,0.15226867035520955,1
0.9203231060767371,0.004050956593007071,0.7619480690298753,0.1581871305504075,-140605.33452431494,-0.8721908549954017,0.1555438539166006,1
0.41920283036134887,0.11356321980912797,0.6986276702569919,0.01569818248780419,-167902.75168711253,-0.9648393494995631,0.157332229399658,1
0.9421326930059516,0.11822564947724389,0.13539991182696032,0.04408109497819174,-308949.0180063429,-0.9582176392988971,0.1594723481978436,1
0.7080075715980964,0.04270854820064625,0.28545202675969483,0.4238393312496029,-310932.7762887431,-0.7476673357623002,0.15641497435713714,1
0.2229805152974853,0.09216811542607833,0.6205783678434121,0.08000540537909823,-198135.2233292194,-0.9018099595956687,0.1562560157029431,1
0.2249283601181391,0.04602061925936718,0.9540995304725521,0.16799780511738693,-372783.63489501487,-0.8039201716722087,0.15727066151032057,1
0.6802750247797934,0.14684518002559746,0.3851524924890002,0.2649978488047274,-252076.48933505252,-0.8315964705925083,0.15882776410368502,1
0.8698608377043515,0.017379679374159695,0.4785215592800657,0.4188949175872848,-221269.39373516676,-0.710747152254621,0.15285291874372178,1
0.23385566353262288,0.0522251028943495,0.3226827548432427,0.37726048517953,-114911.93469686243,-0.7316506364748823,0.15268277165609365,1
0.46157858761444637,0.014878128268395253,0.8600214078203516,0.21014720161035055,-170359.49967801326,-0.742616781805879,0.15299668098290542,1
0.27732363524993464,0.13627564199617476,0.54521059132747,0.2635575199580866,-128043.78007476793,-0.8423274181803325,0.1555088398530452,1
0.17092751226360747,0.09877915068504346,0.7114025037967138,0.2584066116098617,-138112.61436118625,-0.8273147455852982,0.1538091674723675,1
0.738996064497873,0.18846807727963594,0.2695668491841957,0.026338543535518066,-94362.36307234866,-0.9419363699518141,0.15796809184061864,1
0.5097879964582102,0.009669196418359262,0.613257166625448,0.20416061240333522,-280671.8960275867,-0.8752955741687015,0.16526486471945537,1
0.997486261159769,0.03937905300224731,0.8878846240944,0.32392337770245533,-213724.57165156226,-0.8467743291143955,0.16168753886725568,1
0.007759622340355432,0.14942213622453515,0.9678785609421353,0.14504970724039634,-133301.9237265459,-0.859917603008864,0.16481967871642544,1
0.2254134060483154,0.05237764635505933,0.5624738822779903,0.1957475112882488,-108953.64085859038,-0.8966728338203428,0.16133667181344027,1
0.3853047099483248,0.028421772807995762,0.22257253997204407,0.39690646324701323,-297188.42993380973,-0.7416923998836519,0.15936051671435994,1
0.9127682921341204,0.09019433831345758,0.06670973655468815,0.4995247757953638,-236245.30211412782,-0.7471630591640329,0.15767541719853984,1
0.039268590594816466,0.02250776426029746,0.29084537983917336,0.45149650091806304,-246251.25308560408,-0.7788920204542317,0.16250167310693275,1
0.09081082270942054,0.10745938792103958,0.6779340356425098,0.3700902988130785,-95554.7651368967,-0.8122971207084081,0.15401361749871648,1
0.18110505614124406,0.030033863228567784,0.43567937114395827,0.19263627632504482,-166144.94704026732,-0.8532808664409727,0.1668617081549407,1
0.20021216458487412,0.02692669174024667,0.21359356064866952,0.48657782692148177,-266306.2253574406,-0.8129437367667028,0.16859175417258845,1
0.11475466922164179,0.08916451587262408,0.278452305000064,0.1052110649461887,-226927.50257299314,-0.873295288813244,0.1690465998982221,1
0.2487559093571018,0.032613356637271294,0.7836432556412277,0.4042616944207394,-67831.79691064415,-0.8228914259454797,0.16219500491065508,1
0.3651091074306515,0.1591569358312167,0.08977682631740114,0.3304664762589812,-92215.81283160503,-0.8422047598523665,0.16460327348077236,1
0.09681013063787913,0.025614588880073466,0.8192242079392031,0.301692892129778,-173811.44493926346,-0.7020668357771226,0.15863318645777394,1
0.9285056910725067,0.13004867681319557,0.5628513822256092,0.2680800003027716,-215405.9706426695,-0.7337473587623581,0.15960127388086376,1
0.6256284278232959,0.12082272665508478,0.8857019031149136,0.3795587339164916,-228555.17568040465,-0.7755715051706679,0.16852862583835992,1
0.36006849771133487,0.02920834906123322,0.5427230570313438,0.4285517188740121,-211790.25338409073,-0.7442373948077384,0.16660504911042415,1
0.6294863094338877,0.1009271071114109,0.5223094682547949,0.31421877567956047,-205083.2437419356,-0.7441903122469853,0.1663808140191281,1
0.5757098698077493,0.029218138891326653,0.6865930187051551,0.23440200253061438,-150545.86635783216,-0.8440557554167598,0.16902632330537024,1
0.28827597995581733,0.12543346621791873,0.35570587151583355,0.36472770718584085,-117549.59221173561,-0.7891276301486646,0.16845384153605014,1
0.08452374221941394,0.19816215524325287,0.14896651001342331,0.437676981074222,-207852.08513797694,-0.6937350284039668,0.16369623965088945,1
0.5249212660689055,0.13034044655227986,0.371040855949764,0.49306389794541133,-117078.20065491495,-0.7028644814012369,0.1607741127142758,1
0.007724887406071357,0.15151349289167337,0.20161453131462692,0.3701851251343514,-106568.82242581947,-0.7051642598405383,0.1665844270689509,1
0.11340585243389445,0.09066808875295432,0.05127701682742358,0.19937214968256417,-100478.95896571805,-0.8055766143653916,0.17344598418397042,1
0.17803467095724324,0.11885250357553719,0.04262962777106849,0.3266952736948691,-88119.6356208613,-0.7469019535748912,0.17309610059342465,1
0.5569882332680919,0.18847799062452966,0.15354563302164526,0.44811279644300306,-183663.70595629097,-0.6692963915060881,0.1657377474563857,1
0.5699991476659645,0.12914020296097073,0.7233406440863501,0.34033537998978036,-88988.53126918199,-0.8779002772773069,0.15261988721495287,2
0.1809171394037925,0.023631696699292683,0.24273439553436815,0.004091708060715349,-258013.57351004545,-0.9844068904668145,0.17051623110077607,2
0.8583297869224262,0.10675706438192678,0.4344585909891222,0.09359628325212183,-161460.68053981801,-0.8713770909075412,0.1478895210550703,2
0.36671955042587934,0.1591139544644926,0.010907046727330783,0.24013851946592157,-345194.20138604176,-0.9009803207848023,0.17964905032582748,2
0.9658762082517207,0.13864015544418384,0.9754580945429197,0.25864836910720684,-123023.37900402118,-0.9390259435126009,0.15509286623600002,2
0.52487465588629,0.02358857475630867,0.3318013886465613,0.1362082167976782,-13859.504652525902,-0.9405921055017062,0.1567373441855591,2
0.712622939283032,0.017716711277764197,0.3818441536191586,0.011947413067721235,-148296.12328080836,-0.9705444024940393,0.1673373455294794,2
0.7180839738379233,0.09674049618212331,0.9802304834339034,0.3806573338635493,-80244.68879198623,-0.789681051108249,0.14191312111286702,2
0.02770939779749837,0.12742930670593094,0.876907942711342,0.0828195278819489,-221540.5501107004,-0.8578452418294512,0.15226867035520955,2
0.41920283036134887,0.11356321980912797,0.6986276702569919,0.01569818248780419,-167902.75168711253,-0.9648393494995631,0.157332229399658,2
