bridging-capital-weight,innovation-diffusion-rate,policy-effectiveness,cultural-diffusion-rate,Obj_Innov_Neg,Obj_Div_Neg,Obj_Gini
0.45349055464137056,0.010269599736416477,0.8663334092594706,0.0007209123895638159,-243554.33638383518,-0.9953330434480806,0.1525934590932602
0.3821950888511097,0.09634320918359607,0.9802304834339034,0.1616665289365557,-432583.5259732025,-0.8874903309801815,0.15211739165383897
0.4367185469908368,0.02555653853572407,0.9579257982280166,6.44447264502579e-05,-281201.34141234827,-0.9919589395347764,0.15477551585509705
0.2769825337498971,0.03223562204615772,0.8663334092594706,0.0007209123895638159,-265882.158136522,-0.9932203262676665,0.15339954002295617
0.8501496067714331,0.014469148764885394,0.8600214078203516,0.15200655090641021,-170052.18460929734,-0.8233146538559222,0.14100605853483658
0.05832096267005962,0.019536150977604857,0.8663334600919584,0.08275123346184682,-472544.38692810544,-0.9523763896166143,0.16499331314157092
0.36693048167327247,0.013193309014343305,0.8723496193900131,9.317156214134429e-05,-230993.00601182538,-0.9968583740291,0.1606776631576091
0.3859974517334557,0.014504451339271182,0.8935723971254024,0.0028747774357947425,-399055.65586233925,-0.990084851014637,0.14267028436721008
0.7301711136618857,0.19917892502603107,0.3040988610178258,0.00881518411267325,-466468.6665288428,-0.9831215175040344,0.16074043147643502
0.4120125439260629,0.014509695992530578,0.8924037453269801,3.665550846446153e-05,-427048.1131868974,-0.9919691749755531,0.15611634018367904
0.3859974517334557,0.019573135386418673,0.8935723971254024,0.00026785486649295864,-450494.181962254,-0.9915384111656754,0.1571023669803789
0.7180839738379233,0.10449234876662546,0.9978009769591036,0.3806573338635493,-513362.43540127185,-0.7695922697073622,0.1469270240152292
0.36693048167327247,0.10056333893199994,0.8070189060998301,9.317156214134429e-05,-294783.06446974265,-0.9938711516250325,0.162213126260608
0.86567851912179,0.01257005620249213,0.8723496193900131,0.0001868342801812639,-253073.497239721,-0.9919820816976271,0.14974128548163915
0.39692287192152526,0.10056333893199994,0.8070189060998301,9.317156214134429e-05,-253589.06424003828,-0.9936766259386416,0.16097206753720267
0.07748564795401323,0.04844847488150951,0.9025320028015414,0.004089325376169556,-140549.84893431442,-0.9937632250485198,0.14860634588569901
0.3859974517334557,0.18908828211887466,0.8935723971254024,0.0027454656162140562,-185240.28571261733,-0.9860339330535153,0.14224945656590823
0.7209206180909646,0.030214037108284672,0.8310305230344863,0.12067851176148361,-491793.35744762473,-0.8577629332652815,0.14545290586771464
0.40538298369113357,0.016862661099585192,0.8639905038263826,0.1539936621396037,-502466.4656667591,-0.8454394389127033,0.15063604898799235
0.3859974517334557,0.014504451339271182,0.8672691837829731,0.0007209123895638159,-265403.07552807877,-0.9935022896983488,0.15167921528750322
0.3859974517334557,0.0027509339710587756,0.8663334092594706,3.758662583258632e-07,-287155.3514778528,-0.9950752357182188,0.1683502273841142
0.3859974517334557,0.0027509339710587756,0.8675906223801364,3.758662583258632e-07,-155384.15177522926,-0.9931718910701157,0.1384868781151408
0.9946412624884851,0.15479303601862068,0.22020995294490753,0.0008393499271973151,-378829.8793402322,-0.9938672404934773,0.17042259945370797
0.3859974517334557,0.014253660723721261,0.8663334092594706,3.758662583258632e-07,-292643.5714937511,-0.9923645873871095,0.15810266328261835
0.3821950888511097,0.10295166288967486,0.9806237591618474,0.00020635130392344936,-341940.9154781575,-0.9923965591409756,0.16934866571985543
